iter	Passed	Remaining
0	166	166134
1	167	83618
2	169	56377
3	170	42435
4	171	34100
5	172	28553
6	173	24566
7	173	21566
8	174	19231
9	175	17358
10	176	15826
11	176	14547
12	177	13482
13	178	12558
14	179	11755
15	179	11052
16	180	10434
17	182	9961
18	183	9481
19	184	9039
20	185	8645
21	186	8281
22	187	7946
23	187	7638
24	188	7357
25	190	7126
26	191	6890
27	191	6664
28	192	6452
29	193	6255
30	194	6070
31	197	5977
32	198	5818
33	199	5663
34	200	5518
35	201	5384
36	202	5258
37	202	5138
38	203	5018
39	204	4904
40	205	4795
41	205	4691
42	206	4593
43	207	4500
44	207	4409
45	208	4323
46	209	4241
47	212	4206
48	212	4133
49	213	4060
50	216	4025
51	217	3958
52	217	3892
53	218	3827
54	219	3765
55	219	3705
56	220	3647
57	221	3591
58	221	3536
59	222	3484
60	223	3434
61	223	3385
62	227	3379
63	228	3334
64	228	3291
65	230	3255
66	230	3213
67	231	3173
68	232	3132
69	232	3092
70	233	3055
71	234	3018
72	234	2982
73	235	2946
74	236	2912
75	236	2878
76	237	2845
77	238	2813
78	238	2782
79	239	2751
80	241	2744
81	242	2719
82	243	2688
83	244	2662
84	245	2638
85	245	2613
86	246	2588
87	247	2563
88	248	2538
89	248	2514
90	249	2490
91	249	2466
92	250	2443
93	251	2421
94	251	2399
95	252	2378
96	253	2356
97	253	2336
98	257	2341
99	258	2325
100	259	2305
101	260	2289
102	260	2272
103	261	2254
104	262	2236
105	263	2218
106	263	2200
107	264	2183
108	264	2166
109	265	2149
110	266	2132
111	266	2116
112	267	2100
113	268	2084
114	268	2068
115	269	2054
116	270	2041
117	271	2028
118	272	2016
119	273	2002
120	273	1989
121	274	1976
122	275	1963
123	276	1951
124	276	1938
125	277	1925
126	278	1911
127	278	1899
128	279	1886
129	280	1874
130	280	1862
131	281	1850
132	281	1838
133	282	1826
134	286	1832
135	286	1822
136	287	1811
137	288	1802
138	289	1792
139	290	1782
140	290	1772
141	291	1760
142	291	1749
143	292	1739
144	293	1729
145	293	1719
146	294	1709
147	295	1700
148	295	1690
149	296	1680
150	297	1671
151	297	1662
152	300	1664
153	301	1656
154	302	1648
155	303	1640
156	304	1632
157	304	1625
158	305	1617
159	306	1608
160	306	1599
161	307	1590
162	308	1582
163	308	1573
164	309	1565
165	310	1557
166	310	1549
167	311	1541
168	312	1534
169	312	1526
170	316	1532
171	316	1525
172	317	1518
173	318	1511
174	319	1505
175	320	1499
176	321	1493
177	321	1486
178	322	1479
179	323	1472
180	323	1465
181	324	1458
182	325	1452
183	325	1445
184	326	1438
185	327	1431
186	327	1425
187	330	1427
188	331	1422
189	332	1416
190	333	1410
191	333	1405
192	334	1399
193	335	1394
194	336	1388
195	337	1382
196	337	1376
197	338	1370
198	339	1364
199	339	1358
200	340	1352
201	341	1347
202	341	1341
203	342	1335
204	343	1330
205	345	1331
206	346	1326
207	347	1321
208	347	1316
209	348	1311
210	349	1307
211	350	1303
212	351	1297
213	351	1292
214	352	1287
215	353	1281
216	353	1276
217	354	1271
218	355	1266
219	355	1261
220	356	1256
221	357	1251
222	357	1246
223	358	1241
224	361	1243
225	362	1240
226	362	1235
227	363	1231
228	364	1227
229	365	1224
230	366	1219
231	367	1215
232	367	1210
233	368	1206
234	369	1201
235	369	1197
236	370	1192
237	371	1188
238	371	1184
239	372	1180
240	373	1176
241	384	1203
242	385	1199
243	386	1196
244	387	1192
245	387	1189
246	388	1185
247	389	1181
248	391	1180
249	392	1176
250	393	1174
251	394	1172
252	395	1168
253	396	1164
254	397	1160
255	398	1156
256	398	1153
257	399	1149
258	400	1145
259	401	1142
260	402	1138
261	406	1144
262	406	1140
263	407	1137
264	408	1133
265	409	1130
266	410	1126
267	410	1122
268	411	1118
269	412	1114
270	412	1110
271	413	1107
272	414	1103
273	414	1099
274	415	1095
275	416	1091
276	416	1088
277	419	1088
278	420	1086
279	421	1082
280	421	1079
281	422	1076
282	423	1073
283	424	1070
284	425	1066
285	425	1062
286	426	1059
287	427	1055
288	427	1052
289	428	1048
290	429	1045
291	429	1042
292	430	1038
293	431	1035
294	431	1031
295	432	1028
296	433	1026
297	434	1024
298	435	1021
299	436	1018
300	437	1015
301	438	1012
302	438	1009
303	439	1006
304	440	1002
305	440	999
306	441	996
307	442	993
308	442	990
309	443	986
310	444	983
311	444	980
312	445	977
313	448	978
314	449	976
315	449	973
316	450	970
317	451	968
318	452	965
319	453	963
320	453	960
321	454	957
322	455	954
323	455	951
324	456	948
325	457	945
326	457	942
327	458	939
328	459	936
329	459	933
330	460	930
331	463	933
332	464	930
333	465	927
334	466	926
335	467	924
336	468	921
337	469	919
338	470	916
339	471	914
340	472	912
341	472	909
342	473	907
343	474	904
344	475	902
345	479	906
346	480	904
347	481	901
348	482	899
349	483	897
350	483	894
351	484	892
352	485	889
353	486	887
354	488	886
355	488	884
356	489	882
357	490	879
358	494	882
359	495	880
360	495	877
361	496	875
362	497	873
363	498	870
364	499	868
365	499	865
366	500	863
367	501	860
368	501	858
369	502	855
370	503	853
371	503	850
372	504	848
373	505	845
374	505	843
375	508	843
376	509	841
377	510	839
378	511	837
379	511	835
380	512	833
381	513	830
382	514	828
383	514	826
384	515	823
385	516	821
386	516	818
387	517	816
388	518	814
389	518	811
390	519	809
391	520	806
392	520	804
393	524	805
394	524	803
395	525	801
396	526	799
397	526	797
398	528	795
399	529	793
400	529	791
401	530	789
402	531	786
403	531	784
404	532	782
405	533	779
406	533	777
407	534	775
408	535	773
409	535	770
410	538	771
411	539	769
412	540	767
413	540	765
414	541	763
415	542	761
416	543	759
417	544	757
418	544	755
419	545	753
420	546	751
421	546	749
422	547	746
423	548	744
424	548	742
425	549	740
426	550	738
427	550	736
428	554	737
429	554	735
430	555	733
431	556	731
432	557	729
433	558	728
434	559	726
435	559	724
436	560	722
437	561	720
438	561	717
439	562	715
440	563	713
441	563	711
442	564	709
443	565	707
